Название,Регион,Население
Авдеевка,Донецкая область,37210
Александрия,Кировоградская область,93357
Александровск,Луганская область,7045
Цюрупинск,Херсонская область,24123
Алмазная,Луганская область,5061
Алупка,Автономная Республика Крым,9018
Алушта,Автономная Республика Крым,31440
Алчевск,Луганская область,119193
Амвросиевка,Донецкая область,22130
Ананьев,Одесская область,9476
Андрушёвка,Житомирская область,9890
Антрацит,Луганская область,63698
Апостолово,Днепропетровская область,16439
Армянск,Автономная Республика Крым,23869
Арциз,Одесская область,16370
Ахтырка,Сумская область,50399
Балаклея,Харьковская область,32408
Балта,Одесская область,19962
Бар,Винницкая область,17284
Барановка,Житомирская область,12584
Барвенково,Харьковская область,12998
Батурин,Черниговская область,3066
Бахмач,Черниговская область,20332
Артёмовск,Донецкая область,82916
Бахчисарай,Автономная Республика Крым,27549
Баштанка,Николаевская область,13146
Белая Церковь,Киевская область,200131
Белгород-Днестровский,Одесская область,51890
Белз,Львовская область,2478
Белицкое,Донецкая область,10093
Белогорск,Автономная Республика Крым,18790
Белозёрское,Донецкая область,17868
Белополье,Сумская область,18384
Беляевка,Одесская область,14294
Бердичев,Житомирская область,87575
Бердянск,Запорожская область,121692
Берегово,Закарпатская область,26735
Бережаны,Тернопольская область,17617
Березань,Киевская область,17367
Березовка,Одесская область,9481
Березно,Ровненская область,13669
Берестечко,Волынская область,1904
Берислав,Херсонская область,15455
Бершадь,Винницкая область,13336
Ульяновка,Кировоградская область,7526
Бобринец,Кировоградская область,12300
Бобрка,Львовская область,3980
Бобровица,Черниговская область,11916
Богодухов,Харьковская область,18224
Богуслав,Киевская область,17135
Вахрушево,Луганская область,14773
Болград,Одесская область,17353
Болехов,Ивано-Франковская область,10633
Борзна,Черниговская область,11707
Борислав,Львовская область,38122
Борисполь,Киевская область,53975
Борщёв,Тернопольская область,11382
Боярка,Киевская область,35968
Бровары,Киевская область,86839
Броды,Львовская область,23239
Брянка,Луганская область,54767
Юнокоммунаровск,Донецкая область,17813
Бурштын,Ивано-Франковская область,15298
Бурынь,Сумская область,11678
Буск,Львовская область,8673
Буча,Киевская область,28533
Бучач,Тернопольская область,12549
Валки,Харьковская область,10381
Кузнецовск,Ровненская область,38830
Васильевка,Запорожская область,15592
Васильков,Киевская область,39722
Ватутино,Черкасская область,20156
Вашковцы,Черновицкая область,5987
Великие Мосты,Львовская область,5925
Верхнеднепровск,Днепропетровская область,16976
Верховцево,Днепропетровская область,10142
Вижница,Черновицкая область,5021
Вилково,Одесская область,9260
Винники,Львовская область,13654
Винница,Винницкая область,356665
Виноградов,Закарпатская область,25760
Вишнёвое,Киевская область,34465
Владимир-Волынский,Волынская область,38256
Червонопартизанск,Луганская область,17680
Вознесенск,Николаевская область,42634
Волноваха,Донецкая область,24647
Волочиск,Хмельницкая область,20958
Волчанск,Харьковская область,20695
Вольногорск,Днепропетровская область,23782
Вольнянск,Запорожская область,16522
Ворожба,Сумская область,8384
Вышгород,Киевская область,22933
Гадяч,Полтавская область,22698
Гайворон,Кировоградская область,16126
Гайсин,Винницкая область,25640
Галич,Ивано-Франковская область,6495
Геническ,Херсонская область,21793
Герца,Черновицкая область,2068
Глиняны,Львовская область,3378
Глобино,Полтавская область,12902
Глухов,Сумская область,35768
Гнивань,Винницкая область,12832
Голая Пристань,Херсонская область,16028
Кировск,Луганская область,35199
Комсомольск,Полтавская область,51740
Горловка,Донецкая область,292250
Горняк,Донецкая область,14207
Городенка,Ивано-Франковская область,9794
Городище,Черкасская область,15645
Городня,Черниговская область,14043
Городок,Львовская область,16082
Городок,Хмельницкая область,17746
Горохов,Волынская область,9015
Горское,Луганская область,11473
Гребёнка,Полтавская область,11662
Гуляйполе,Запорожская область,17077
Дебальцево,Донецкая область,30246
Деражня,Хмельницкая область,10446
Дергачи,Харьковская область,20258
Джанкой,Автономная Республика Крым,43343
Днепропетровск,Днепропетровская область,1065008
Днепрорудное,Запорожская область,21054
Добромиль,Львовская область,4976
Доброполье,Донецкая область,35638
Докучаевск,Донецкая область,24383
Свердловск,Луганская область,72531
Долина,Ивано-Франковская область,20906
Долинская,Кировоградская область,18768
Донецк,Донецкая область,1016194
Дрогобыч,Львовская область,79119
Дружба,Сумская область,5726
Дружковка,Донецкая область,64557
Дубляны,Львовская область,8469
Дубно,Ровненская область,39146
Дубровица,Ровненская область,9644
Дунаевцы,Хмельницкая область,16448
Евпатория,Автономная Республика Крым,105915
Енакиево,Донецкая область,103997
Жашков,Черкасская область,15853
Ждановка,Донецкая область,13688
Артёмово,Донецкая область,6725
Жёлтые Воды,Днепропетровская область,53582
Жидачов,Львовская область,11798
Житомир,Житомирская область,284236
Жмеринка,Винницкая область,37349
Жолква,Львовская область,13474
Червонозаводское,Полтавская область,9024
Залещики,Тернопольская область,10125
Запорожье,Запорожская область,815256
Заставна,Черновицкая область,8866
Збараж,Тернопольская область,13228
Зборов,Тернопольская область,7436
Звенигородка,Черкасская область,19901
Здолбунов,Ровненская область,24612
Зеленодольск,Днепропетровская область,14792
Зеньков,Полтавская область,10577
Зимогорье,Луганская область,11295
Змиёв,Харьковская область,17063
Знаменка,Кировоградская область,29412
Золотое,Луганская область,17836
Золотоноша,Черкасская область,28793
Золочев,Львовская область,23481
Зоринск,Луганская область,8838
Зугрэс,Донецкая область,19859
Ивано-Франковск,Ивано-Франковская область,218359
Измаил,Одесская область,84815
Изюм,Харьковская область,56114
Изяслав,Хмельницкая область,18444
Ильинцы,Винницкая область,11186
Иловайск,Донецкая область,17620
Инкерман,Севастополь,10628
Теплогорск,Луганская область,13053
Ирпень,Киевская область,40593
Иршава,Закарпатская область,9515
Ичня,Черниговская область,12780
Кагарлык,Киевская область,13757
Стаханов,Луганская область,90152
Казатин,Винницкая область,26635
Калиновка,Винницкая область,20061
Калуш,Ивано-Франковская область,67902
Комсомольское,Донецкая область,12813
Каменец-Подольский,Хмельницкая область,99610
Каменка,Черкасская область,15109
Каменка-Бугская,Львовская область,11674
Каменка-Днепровская,Запорожская область,15522
Днепродзержинск,Днепропетровская область,255841
Камень-Каширский,Волынская область,10818
Канев,Черкасская область,26657
Карловка,Полтавская область,17995
Каховка,Херсонская область,38238
Керчь,Автономная Республика Крым,157007
Киверцы,Волынская область,16678
Киев,Киев,2611327
Килия,Одесская область,22594
Артёмовск,Луганская область,9097
Кицмань,Черновицкая область,7608
Кобеляки,Хмельницкая область,12076
Ковель,Волынская область,66401
Кодыма,Одесская область,9634
Коломыя,Ивано-Франковская область,61989
Комарно,Львовская область,3994
Конотоп,Сумская область,92657
Константиновка,Донецкая область,95111
Копычинцы,Тернопольская область,7036
Корец,Ровненская область,8649
Коростень,Житомирская область,66669
Коростышев,Житомирская область,26068
Корсунь-Шевченковский,Черкасская область,19311
Корюковка,Черниговская область,14318
Косов,Ивано-Франковская область,8301
Костополь,Ровненская область,30467
Краматорск,Донецкая область,181025
Красилов,Хмельницкая область,20580
Красногоровка,Донецкая область,16714
Красноград,Харьковская область,22670
Красноперекопск,Автономная Республика Крым,31023
Кременец,Тернопольская область,22051
Кременная,Луганская область,24447
Кременчуг,Полтавская область,234073
Кировское,Донецкая область,30910
Кривой Рог,Днепропетровская область,668980
Кролевец,Сумская область,25183
Кировоград,Кировоградская область,254103
Купянск,Харьковская область,32449
Курахово,Донецкая область,21479
Ладыжин,Винницкая область,22219
Лановцы,Тернопольская область,8680
Лебедин,Сумская область,28948
Красный Лиман,Донецкая область,28172
Липовец,Винницкая область,9406
Лисичанск,Луганская область,115229
Лозовая,Харьковская область,64041
Лохвица,Полтавская область,12389
Лубны,Полтавская область,52572
Луганск,Луганская область,463097
Лутугино,Луганская область,18833
Луцк,Волынская область,208816
Львов,Львовская область,732818
Любомль,Волынская область,10395
Люботин,Харьковская область,24173
Макеевка,Донецкая область,389589
Малая Виска,Кировоградская область,13132
Малин,Житомирская область,28113
Марганец,Днепропетровская область,49592
Мариуполь,Донецкая область,492176
Марьинка,Донецкая область,10722
Мелитополь,Запорожская область,160657
Мена,Черниговская область,12940
Мерефа,Харьковская область,25018
Миргород,Полтавская область,42886
Димитров,Донецкая область,54787
Мироновка,Киевская область,13368
Миусинск,Луганская область,6029
Могилёв-Подольский,Винницкая область,32853
Молодогвардейск,Луганская область,25528
Молочанск,Запорожская область,7964
Монастыриска,Тернопольская область,6344
Монастырище,Черкасская область,9463
Моршин,Львовская область,6482
Моспино,Донецкая область,11736
Мостиска,Львовская область,9150
Мукачево,Закарпатская область,82346
Надворная,Ивано-Франковская область,20932
Нежин,Черниговская область,76625
Немиров,Винницкая область,12082
Нетешин,Хмельницкая область,34358
Николаев,Львовская область,14801
Николаев,Николаевская область,514136
Николаевка,Донецкая область,16620
Никополь,Днепропетровская область,136280
Новая Каховка,Херсонская область,52137
Новая Одесса,Николаевская область,14070
Новгород-Северский,Черниговская область,15175
Новоазовск,Донецкая область,12702
Нововолынск,Волынская область,53838
Новоград-Волынский,Житомирская область,56259
Новогродовка,Донецкая область,17473
Новоднестровск,Черновицкая область,10342
Новодружеск,Луганская область,9025
Новомиргород,Кировоградская область,13220
Новомосковск,Днепропетровская область,72439
Новоселица,Черновицкая область,8400
Новоукраинка,Кировоградская область,19353
Новояворовское,Львовская область,26483
Новый Буг,Николаевская область,16250
Новый Калинов,Львовская область,3582
Новый Роздол,Львовская область,28227
Носовка,Черниговская область,15966
Обухов,Киевская область,32776
Овруч,Житомирская область,17031
Одесса,Одесская область,1029049
Олевск,Житомирская область,10897
Орехов,Запорожская область,17955
Остёр,Черниговская область,7194
Острог,Ровненская область,14801
Ахтырка,Сумская область,50399
Павлоград,Днепропетровская область,118816
Первомайск,Луганская область,43082
Первомайск,Николаевская область,70170
Первомайский,Харьковская область,32523
Перевальск,Луганская область,29665
Перемышляны,Львовская область,7565
Перечин,Закарпатская область,7083
Перещепино,Днепропетровская область,10041
Переяслав-Хмельницкий,Киевская область,31634
Першотравенск,Днепропетровская область,29140
Петровское,Луганская область,15478
Пивденное,Харьковская область,8516
Пирятин,Полтавская область,16664
Погребище,Винницкая область,10754
Подгайцы,Тернопольская область,3280
Подгородное,Днепропетровская область,17763
Котовск,Одесская область,40718
Орджоникидзе,Днепропетровская область,44834
Красноармейск,Донецкая область,69154
Пологи,Запорожская область,22206
Полонное,Хмельницкая область,23211
Полтава,Полтавская область,317998
Помошная,Кировоградская область,10946
Попасная,Луганская область,25951
Почаев,Тернопольская область,8240
Приволье,Луганская область,9004
Прилуки,Черниговская область,64861
Приморск,Запорожская область,12973
Припять,Киевская область,0
Пустомыты,Львовская область,9798
Путивль,Сумская область,17354
Пятихатки,Днепропетровская область,20563
Рава-Русская,Львовская область,8070
Радехов,Львовская область,9230
Радивилов,Ровненская область,10311
Радомышль,Житомирская область,15326
Раздельная,Одесская область,17754
Рахов,Закарпатская область,15241
Рени,Одесская область,20481
Решетиловка,Полтавская область,9457
Ржищев,Киевская область,8447
Ровеньки,Луганская область,53725
Ровно,Ровненская область,248813
Рогатин,Ивано-Франковская область,8607
Родинское,Донецкая область,11996
Рожище,Волынская область,13636
Ромны,Сумская область,50448
Рубежное,Луганская область,65322
Рудки,Львовская область,4942
Саки,Автономная Республика Крым,29416
Самбор,Львовская область,36556
Сарны,Ровненская область,28144
Свалява,Закарпатская область,17145
Сватово,Луганская область,19495
Светловодск,Кировоградская область,50094
Светлодарск,Донецкая область,13184
Славяногорск,Донецкая область,5136
Севастополь,Севастополь,342451
Северодонецк,Луганская область,119940
Северск,Донецкая область,14393
Селидово,Донецкая область,26793
Семёновка,Черниговская область,9656
Середина-Буда,Сумская область,7511
Симферополь,Автономная Республика Крым,343644
Синельниково,Днепропетровская область,32302
Скадовск,Херсонская область,19641
Скалат,Тернопольская область,4036
Сквира,Киевская область,18126
Сколе,Львовская область,6742
Славута,Хмельницкая область,34340
Славутич,Киевская область,24402
Славянск,Донецкая область,124829
Смела,Черкасская область,69681
Снежное,Донецкая область,58496
Снигирёвка,Николаевская область,15447
Щорс,Черниговская область,12315
Снятын,Ивано-Франковская область,10479
Сокаль,Львовская область,21693
Сокиряны,Черновицкая область,10258
Соледар,Донецкая область,13151
Краснодон,Луганская область,50560
Сосновка,Львовская область,11889
Старобельск,Луганская область,22371
Староконстантинов,Хмельницкая область,35206
Старый Крым,Автономная Республика Крым,10101
Старый Самбор,Львовская область,5706
Стебник,Львовская область,20863
Сторожинец,Черновицкая область,14693
Стрый,Львовская область,62479
Судак,Автономная Республика Крым,14495
Судовая Вишня,Львовская область,6668
Сумы,Сумская область,293141
Суходольск,Луганская область,23642
Счастье,Луганская область,13770
Таврийск,Херсонская область,11452
Тальное,Черкасская область,16388
Тараща,Киевская область,13452
Татарбунары,Одесская область,10797
Теплодар,Одесская область,8830
Теребовля,Тернопольская область,13661
Терновка,Днепропетровская область,29226
Тернополь,Тернопольская область,227755
Тетиев,Киевская область,14944
Тлумач,Ивано-Франковская область,8831
Токмак,Запорожская область,36275
Дзержинск,Донецкая область,43371
Тростянец,Сумская область,23308
Трускавец,Львовская область,31037
Тульчин,Винницкая область,16136
Турка,Львовская область,7681
Тысменица,Ивано-Франковская область,9790
Тячев,Закарпатская область,9786
Углегорск,Донецкая область,10309
Угледар,Донецкая область,17440
Угнев,Львовская область,1021
Ужгород,Закарпатская область,117317
Узин,Киевская область,13217
Украинка,Киевская область,14163
Украинск,Донецкая область,13236
Умань,Черкасская область,88735
Устилуг,Волынская область,2283
Фастов,Киевская область,51976
Феодосия,Автономная Республика Крым,74669
Харцызск,Донецкая область,64175
Харьков,Харьковская область,1470902
Херсон,Херсонская область,328360
Хмельник,Винницкая область,27898
Хмельницкий,Хмельницкая область,290000
Ходоров,Львовская область,10565
Хорол,Полтавская область,14753
Хоростков,Тернопольская область,7306
Хотин,Черновицкая область,11216
Христиновка,Черкасская область,11650
Красный Луч,Луганская область,94875
Хуст,Закарпатская область,29080
Хыров,Львовская область,4590
Часов Яр,Донецкая область,16612
Червоноград,Львовская область,70568
Черкассы,Черкасская область,295414
Чернигов,Черниговская область,304994
Чернобыль,Киевская область,0
Черновцы,Черновицкая область,240621
Ильичёвск,Одесская область,54151
Чигирин,Черкасская область,11960
Торез,Донецкая область,72346
Чоп,Закарпатская область,8919
Чортков,Тернопольская область,29057
Чугуев,Харьковская область,36789
Чуднов,Житомирская область,5752
Шаргород,Винницкая область,7161
Шахтёрск,Донецкая область,59589
Шепетовка,Хмельницкая область,48212
Шостка,Сумская область,87130
Шпола,Черкасская область,19427
Шумск,Тернопольская область,5161
Щёлкино,Автономная Республика Крым,11699
Энергодар,Запорожская область,56242
Южное,Одесская область,23977
Южноукраинск,Николаевская область,38206
Яворов,Львовская область,13510
Яготин,Киевская область,23659
Ялта,Автономная Республика Крым,81654
Ямполь,Винницкая область,11787
Яремча,Ивано-Франковская область,7850
Ясиноватая,Донецкая область,37552
